x_px,y_px
1090,255
1091,183
1092,182
1093,160
1094,131
1095,121
1096,120
1097,120
1098,120
1099,120
1100,119
1101,119
1102,119
1103,119
1104,119
1105,119
1106,119
1107,119
1108,118
1109,121
1110,125
1111,128
1112,131
1113,135
1114,138
1115,138
1116,138
1117,138
1118,138
1119,138
1120,138
1121,138
1122,138
1123,134
1124,132
1125,130
1126,120
1127,119
1128,119
1129,119
1130,119
1131,119
1132,119
1133,119
1134,119
1135,119
1136,126
1137,127
1138,127
1139,127
1140,127
1141,127
1142,127
1143,127
1144,127
1145,127
1146,127
1147,147
1148,148
1149,149
1150,151
1151,159
1152,161
1153,161
1154,162
1155,165
1156,169
1157,171
1158,180
1159,188
1160,189
1161,190
1162,192
1163,212
1164,225
1165,225
1166,226
1167,227
1168,231
1169,232
1170,233
1171,233
1172,233
1173,233
1174,233
1175,233
1176,233
1177,233
1178,234
1179,234
1180,234
1181,234
1182,234
1183,234
1184,234
1185,234
1186,234
1187,234
1188,234
1189,235
1190,237
1191,238
1192,247
1193,260
1194,260
1195,261
1196,264
1197,299
1198,327
1199,336
1200,337
1201,337
1202,339
1203,363
1204,385
1205,436
1206,445
1207,474
1208,475
1209,477
1210,502
1211,525
1212,526
1213,527
1214,529
1215,530
1216,531
1217,532
1218,533
1219,537
1220,562
1221,572
1222,574
1223,587
1224,594
1225,595
1226,595
1227,595
1228,595
1229,595
1230,595
1231,595
1232,595
1233,595
1234,595
1235,592
1236,591
1237,569
1238,569
1239,569
1240,569
1241,569
1242,569
1243,569
1244,571
1245,571
1246,571
1247,571
1248,571
1249,571
1250,572
1251,574
1252,608
1253,619
1254,620
1255,621
1256,632
1257,633
1258,633
1259,633
1260,633
1261,633
1262,633
1263,633
1264,633
1265,608
1266,607
1267,607
1268,607
1269,607
1270,607
1271,607
1272,606
1273,591
1274,591
1275,591
1276,591
1277,591
1278,591
1279,591
1280,591
1281,591
1282,591
1283,591
1284,591
1285,591
1286,591
1287,591
1288,591
1289,591
1290,591
1291,591
1292,591
1293,591
1294,591
1295,591
1296,591
1297,610
1298,612
1299,612
1300,612
1301,612
1302,612
1303,612
1304,612
1305,612
1306,612
1307,612
1308,612
1309,612
1310,612
1311,612
1312,588
1313,588
1314,588
1315,588
1316,588
1317,587
1318,578
1319,577
1320,576
1321,561
1322,560
1323,560
1324,560
1325,560
1326,560
1327,560
1328,560
1329,560
1330,560
1331,560
1332,520
1333,520
1334,518
1335,366
1336,213
1337,208
1338,235
1339,174
1340,174
1341,174
1342,174
1343,174
1344,174
1345,174
1346,174
1347,175
1348,175
1349,175
1350,175
1351,175
1352,175
1353,175
1354,174
1355,173
1356,172
1357,172
1358,172
1359,172
1360,172
1361,172
1362,172
1363,172
1364,173
1365,174
1366,176
1367,188
1368,190
1369,191
1370,192
1371,199
1372,201
1373,201
1374,202
1375,204
1376,205
1377,206
1378,212
1379,225
1380,255
1381,256
1382,256
1383,256
1384,257
1385,257
1386,257
1387,257
1388,257
1389,257
1390,257
1391,257
1392,257
1393,257
1394,250
1395,249
1396,248
1397,247
1398,245
1399,244
1400,234
1401,233
1402,233
1403,233
1404,233
1405,233
1406,233
1407,233
1408,247
1409,260
1410,274
1411,288
1412,301
1413,315
1414,329
1415,342
1416,356
1417,369
1418,383
1419,397
1420,410
1421,424
1422,438
1423,451
1424,465
1425,479
1426,492
1427,506
1428,520
1429,533
1430,547
1431,560
1432,574
1433,588
1434,601
1435,615
1436,629
1437,642
1438,656
1439,656
1440,656
1441,656
1442,656
1443,656
1444,655
1445,651
