x_px,y_px
1264,606
1265,606
1266,606
1267,606
1268,606
1269,606
1270,606
1271,606
1272,606
1273,591
1274,591
1275,591
1276,591
1277,591
1278,591
1279,591
1280,591
1281,591
1282,591
1283,591
1284,591
1285,591
1286,591
1287,591
1288,591
1289,591
1290,591
1291,591
1292,591
1293,591
1294,591
1295,591
1296,591
1301,600
1302,600
1303,600
1304,600
1305,600
1306,600
1307,600
1308,600
1309,600
1310,600
1311,600
1312,588
1313,588
1314,588
1315,588
1316,588
1317,587
1318,578
1319,577
1320,576
1321,561
1322,560
1323,560
1324,560
1325,560
1326,560
1327,560
1328,560
1329,560
1330,560
1331,560
1332,520
1333,520
1334,518
1336,213
1337,208
1338,235
1339,174
1340,174
1341,174
1342,174
1343,174
1344,174
1345,174
1346,174
1347,175
1348,175
1349,175
1350,175
1351,175
1352,175
1353,175
1354,174
1355,173
1356,172
1357,172
1358,172
1359,172
1360,172
1361,172
1362,172
1363,172
1364,173
1365,174
1366,176
1367,188
1368,190
1369,191
1370,192
1371,199
1372,201
1373,201
1374,202
1375,204
1376,205
1377,206
1378,212
1379,225
1380,255
1381,256
1382,256
1383,256
1384,257
1385,257
1386,257
1387,257
1388,257
1389,257
1390,257
1391,257
1392,257
1393,257
1394,250
1395,249
1396,248
1397,247
1398,245
1399,244
1400,234
1401,233
1402,233
1403,233
1404,233
1405,233
1406,233
1407,233
1820,99
1821,99
1822,99
1823,99
1824,97
1825,97
1826,96
1827,96
1828,96
1829,96
1830,96
1831,96
1832,96
1833,96
1834,96
1835,96
1836,96
1837,96
1838,96
1839,96
1840,96
1841,96
1842,96
1843,96
1844,96
1845,96
1846,96
1847,96
1848,96
1849,96
1850,96
1851,95
1852,95
1853,95
1854,95
1855,95
1856,95
1857,95
1858,95
1859,95
1860,95
1861,107
1862,129
1863,133
1864,142
1878,371
1879,371
1880,371
1881,371
1882,373
1883,390
1884,408
1885,418
1886,442
1887,460
1888,469
1889,470
1890,471
1891,472
1892,476
1893,506
1894,523
1895,530
1896,531
1897,532
1898,533
1899,535
1900,558
1901,560
1902,561
1903,562
1904,564
1905,575
1906,576
1907,578
1908,582
1909,584
1910,584
1911,585
1912,586
1913,587
1914,587
1915,587
1916,587
1917,587
1918,587
1919,587
1920,587
1921,587
1922,587
1923,588
1924,588
1925,590
1926,591
