x_px,y_px
1020,568
1021,567
1022,565
1023,562
1024,562
1025,562
1026,562
1027,562
1028,562
1029,562
1030,562
1031,562
1032,562
1033,559
1034,557
1035,554
1036,554
1037,554
1038,554
1039,554
1040,554
1041,554
1042,554
1043,558
1044,558
1045,558
1046,558
1047,558
1048,558
1049,558
1050,558
1051,558
1052,558
1053,562
1054,563
1055,566
1056,568
1057,568
1058,568
1059,568
1060,568
1061,568
1062,568
1063,565
1064,565
1065,565
1066,565
1067,565
1068,565
1069,579
1070,611
1071,611
1072,611
1073,611
1074,611
1075,611
1076,611
1077,611
1078,611
1079,611
1080,611
1081,645
1082,646
1083,647
1084,648
1085,650
1086,683
1087,718
1088,752
1089,787
1090,800
1091,800
1092,800
1093,800
1094,800
1095,800
1096,803
1097,797
1098,791
1099,791
1100,791
1101,791
1102,791
1103,791
1104,791
1105,791
1106,804
1107,805
1108,806
1109,807
1110,808
1111,810
1112,810
1113,810
1114,810
1115,810
1116,810
1117,810
1118,809
1119,809
1120,808
1134,720
1135,720
1136,720
1137,720
1138,720
1139,720
1140,705
1141,651
1142,651
1143,651
1144,651
1145,651
1146,651
1147,651
1148,651
1149,651
1150,651
1151,651
1152,651
1153,651
1154,608
1155,608
1156,608
1157,608
1158,608
1159,608
1160,608
1161,608
1162,608
1163,608
1164,608
1165,608
1166,608
1167,608
1168,609
1169,609
1170,609
1171,609
1172,609
1173,609
1174,609
1175,609
1176,609
1177,609
1178,607
1179,605
1180,585
1181,585
1182,585
1183,585
1184,585
1185,585
1186,585
1187,585
1188,585
1189,585
1190,585
1191,584
1192,582
1193,581
1194,580
1195,580
1196,580
1197,580
1198,579
1199,572
1200,571
1201,570
1202,570
1203,570
1204,570
1205,570
1206,570
1207,570
1208,570
1209,575
1210,575
1211,576
1212,576
1213,576
1214,576
1215,576
1216,576
1217,576
1218,576
1219,579
1220,566
1221,566
1222,566
1223,566
1224,566
1225,566
1226,566
1227,566
1228,566
1229,558
1230,557
1231,557
1232,557
1233,557
1234,556
1235,556
1236,556
1237,556
1238,556
1239,556
1240,556
1241,556
1242,556
1243,556
1244,556
1245,555
1246,553
1247,553
1248,553
1249,553
1250,553
1251,553
1252,553
1253,553
1254,553
1255,553
1256,553
1257,553
1258,552
1259,551
1260,551
1261,551
1262,551
1263,551
1264,551
1265,550
1266,539
1267,539
1268,539
1269,539
1270,539
1271,539
1272,539
1273,539
1274,539
1275,539
1276,539
1277,539
1278,539
1279,539
1280,539
1281,539
1282,539
1283,539
1284,539
1285,539
1286,539
1287,539
1288,540
1289,544
1290,546
1291,546
1292,546
1293,546
1294,546
1295,546
1296,546
1297,546
1298,537
1299,536
1300,536
1301,536
1302,536
1303,536
1304,536
1305,536
1306,536
1307,543
1308,546
1309,547
1310,547
1311,547
1312,547
1313,547
1314,547
1315,547
1316,547
1317,549
1318,571
1319,579
1320,604
1321,629
1322,653
1323,678
1324,703
1325,728
1326,753
1327,777
1328,802
1329,827
1330,827
1331,827
1332,827
1333,827
1334,827
1335,827
1336,827
1337,823
1338,786
1339,764
1340,763
1341,752
1342,738
1343,738
1344,738
1345,738
1346,738
1347,738
1348,738
1349,738
1350,738
1351,702
1352,702
1353,702
1354,702
1355,702
1356,702
1357,702
1358,702
1359,702
1360,702
1361,702
1362,702
1363,702
1364,702
1365,702
1366,702
1367,702
1368,702
1369,702
1370,704
1371,730
1372,754
1373,754
1374,755
1375,755
1376,756
1377,756
1378,756
1379,756
1380,756
1381,760
1382,767
1383,767
1384,767
1385,767
1386,767
1387,767
1388,767
1389,767
1390,767
1391,767
1392,781
1393,795
1394,455
1395,455
1396,455
1397,455
1398,455
1399,455
1400,455
1401,455
1402,455
1403,455
1404,455
1405,455
1406,455
1407,455
1408,454
1409,453
1410,451
1411,430
1412,430
1413,428
1414,417
1415,415
1416,413
1417,402
1418,402
1419,401
1420,401
1421,401
1422,401
1423,401
1424,401
1425,401
1426,399
1427,398
1428,397
1429,396
1430,390
1431,390
1432,390
1433,390
1434,390
1435,390
1436,391
1437,392
1438,392
1439,392
1440,392
1441,392
1442,392
1443,392
1444,376
1445,376
1446,376
1447,376
1448,376
1449,376
1450,376
1451,376
1452,376
1453,376
1454,371
1455,371
1456,371
1457,371
1458,371
1459,371
1460,371
1461,371
1462,371
1463,371
1464,371
1465,371
1466,371
1467,371
1468,371
1469,371
1470,371
1471,371
1472,371
1473,371
1474,371
1475,371
1476,371
1477,371
1478,371
1479,371
1480,371
1481,371
1482,371
1483,371
1484,371
1485,371
1486,371
1487,382
1488,383
1489,383
1490,383
1491,383
1492,383
1493,384
1494,385
1495,390
1496,391
1497,393
1498,412
1499,418
1500,418
1501,418
1502,418
1503,418
1504,418
1505,418
1506,418
1507,418
1508,429
1509,445
1510,446
1511,446
1512,446
1513,446
1514,447
1515,447
1516,449
1517,469
1518,503
1561,506
1562,506
1563,506
1564,506
1565,506
1566,506
1567,506
1568,506
1569,496
1570,495
1571,495
1572,495
1573,495
1574,495
1575,495
1576,495
1577,494
1578,482
1579,481
1580,481
1581,481
1582,481
