x_px,y_px
1105,120
1106,120
1107,120
1108,120
1109,120
1110,117
1111,121
1112,125
1113,130
1114,134
1115,138
1116,142
1117,142
1118,142
1119,142
1120,142
1121,142
1122,142
1123,142
1124,142
1125,134
1126,132
1127,130
1128,120
1129,120
1130,120
1131,120
1132,120
1133,120
1134,120
1135,120
1136,120
1137,122
1138,127
1139,128
1140,128
1141,128
1142,128
1143,128
1144,128
1145,128
1146,128
1147,128
1148,135
1149,148
1150,149
1151,150
1152,152
1153,160
1154,161
1155,162
1156,163
1157,167
1158,170
1159,171
1160,182
1161,189
1162,190
1163,190
1164,192
1165,212
1166,225
1167,226
1168,227
1169,228
1170,231
1171,233
1172,234
1173,234
1174,234
1175,234
1176,234
1177,234
1178,234
1179,234
1180,234
1181,234
1182,234
1183,234
1184,234
1185,234
1186,234
1187,234
1188,234
1189,234
1190,234
1191,234
1192,237
1193,238
1194,241
1195,259
1196,261
1197,261
1198,263
1199,270
1200,317
1201,336
1202,337
1203,337
1204,338
1205,343
1206,369
1207,386
1208,433
1209,445
1210,474
1211,475
1212,477
1213,490
1214,505
1215,526
1216,527
1217,528
1218,530
1219,531
1220,532
1221,532
1222,534
1223,551
1224,563
1225,573
1226,574
1227,592
1228,594
1229,595
1230,596
1231,596
1232,596
1233,596
1234,596
1235,596
1236,596
1237,596
1238,594
1239,592
1240,591
1241,569
1242,569
1243,569
1244,569
1245,569
1246,569
1247,569
1248,571
1249,571
1250,571
1251,571
1252,571
1253,571
1254,572
1255,576
1256,610
1257,619
1258,621
1259,622
1260,632
1261,633
1262,633
1263,633
1264,633
1265,633
1266,633
1267,633
1268,633
1269,608
1270,607
1271,607
1272,607
1273,607
1274,607
1275,607
1276,606
1277,591
1278,591
1279,591
1280,591
1281,591
1282,591
1283,591
1284,591
1285,591
1286,591
1287,591
1288,591
1289,591
1290,591
1291,591
1292,591
1293,591
1294,591
1295,591
1296,591
1297,591
1298,591
1299,591
1300,591
1301,611
1302,612
1303,612
1304,612
1305,612
1306,612
1307,612
1308,612
1309,612
1310,612
1311,612
1312,612
1313,612
1314,612
1315,611
1316,588
1317,588
1318,588
1319,588
1320,588
1321,587
1322,578
1323,577
1324,576
1325,560
1326,560
1327,560
1328,560
1329,560
1330,560
1331,560
1332,560
1333,560
1334,560
1335,560
1336,520
1337,519
1338,371
1339,222
1340,234
1341,173
1342,173
1343,173
1344,173
1345,173
1346,173
1347,173
1348,174
1349,175
1350,175
1351,175
1352,175
1353,175
1354,175
1355,175
1356,174
1357,172
1358,172
1359,172
1360,172
1361,172
1362,172
1363,172
1364,172
1365,172
1366,173
1367,174
1368,176
1369,187
1370,189
1371,190
1372,192
1373,199
1374,200
1375,201
1376,202
1377,203
1378,204
1379,205
1380,207
1381,224
1382,254
1383,255
1384,256
1385,256
1386,256
1387,256
1388,256
1389,256
1390,256
1391,256
1392,256
1393,256
1394,256
1395,256
1396,250
1397,249
1398,248
1399,247
1400,245
1401,244
1402,234
1403,233
1404,233
1405,233
1406,233
1407,233
1408,233
1409,233
1410,239
1411,252
1412,265
1413,278
1414,291
1415,304
1416,317
1417,330
1418,343
1419,356
1420,369
1421,382
1422,395
1423,408
1424,421
1425,434
1426,448
1427,461
1428,474
1429,487
1430,500
1431,513
1432,526
1433,539
1434,552
1435,565
1436,578
1437,591
1438,604
1439,617
1440,630
1441,643
1442,656
1443,656
1444,656
1445,656
1446,656
1447,655
1448,654
1449,651
1450,650
1451,649
1452,648
1453,646
1454,645
1455,645
1456,644
1457,644
1458,644
1459,644
1460,644
1461,644
1462,644
1463,644
1464,644
1465,644
1466,644
1467,644
1468,644
1469,644
1470,644
1471,644
1472,644
1473,644
1474,644
1475,643
1476,643
1477,643
1478,643
1479,643
1480,643
1481,643
1482,643
1483,643
1484,643
1485,643
1486,643
1487,643
1488,643
1489,643
1490,643
1491,643
1492,643
1493,642
1494,642
1495,642
1496,642
1497,642
1498,642
1499,642
1500,642
1501,642
1502,642
1503,642
1504,642
1505,642
1506,642
1507,642
1508,642
1509,642
1510,642
1511,642
1512,641
1513,641
1514,641
1515,641
1516,641
1517,641
1518,641
1519,641
1520,641
1521,641
1522,641
1523,641
1524,641
1525,641
1526,641
1527,641
1528,641
1529,641
1530,641
1531,641
1532,641
1533,641
1534,641
1535,641
1536,641
1537,641
1538,641
1539,641
1540,641
1541,641
1542,640
1543,640
1544,640
1545,640
1546,640
1547,640
1548,640
1549,640
1550,640
1551,640
1552,640
1553,640
1554,640
1555,640
1556,640
1557,640
1558,640
1559,640
1560,640
1561,639
1562,639
1563,639
1564,639
1565,639
1566,639
1567,639
1568,639
1569,639
1570,639
1571,639
1572,639
1573,639
1574,639
1575,639
1576,639
1577,639
1578,639
1579,639
1580,639
1581,639
1582,638
1583,638
1584,638
1585,638
1586,638
1587,638
1588,638
1589,638
1590,638
1591,638
1592,638
1593,638
1594,638
1595,638
1596,638
