x_px,y_px
1010,588
1011,588
1012,588
1013,587
1014,586
1015,570
1016,570
1017,570
1018,569
1019,569
1020,568
1021,563
1022,563
1023,563
1024,563
1025,563
1026,563
1027,563
1028,563
1029,563
1030,563
1031,562
1032,559
1033,557
1034,555
1035,555
1036,555
1037,555
1038,555
1039,555
1040,555
1041,559
1042,559
1043,559
1044,559
1045,559
1046,559
1047,559
1048,559
1049,559
1050,559
1051,562
1052,564
1053,565
1054,568
1055,568
1056,568
1057,568
1058,568
1059,568
1060,568
1061,568
1062,568
1063,568
1064,568
1065,568
1066,568
1067,568
1068,597
1069,613
1070,613
1071,613
1072,613
1073,613
1074,613
1075,613
1076,613
1077,613
1078,613
1079,614
1080,646
1081,647
1082,648
1083,649
1084,663
1085,684
1086,717
1087,745
1088,756
1089,790
1090,801
1091,801
1092,801
1093,801
1094,801
1095,802
1096,810
1097,790
1098,790
1099,790
1100,790
1101,790
1102,790
1103,790
1104,790
1105,790
1106,806
1107,806
1108,807
1109,808
1110,810
1111,810
1112,810
1113,810
1114,810
1115,810
1116,810
1117,810
1118,810
1119,809
1120,807
1121,800
1122,793
1123,786
1124,779
1125,772
1126,765
1127,758
1128,750
1129,743
1130,736
1131,729
1132,722
1133,715
1134,708
1135,708
1136,708
1137,708
1138,708
1139,705
1140,651
1141,651
1142,651
1143,651
1144,651
1145,651
1146,651
1147,651
1148,651
1149,651
1150,651
1151,651
1152,651
1153,608
1154,608
1155,608
1156,608
1157,608
1158,608
1159,608
1160,608
1161,608
1162,608
1163,608
1164,608
1165,608
1166,609
1167,609
1168,609
1169,609
1170,609
1171,609
1172,609
1173,609
1174,609
1175,609
1176,609
1177,607
1178,586
1179,586
1180,586
1181,586
1182,586
1183,586
1184,586
1185,586
1186,586
1187,586
1188,586
1189,585
1190,584
1191,582
1192,581
1193,581
1194,580
1195,580
1196,580
1197,579
1198,572
1199,571
1200,571
1201,571
1202,571
1203,571
1204,571
1205,571
1206,571
1207,574
1208,575
1209,576
1210,576
1211,576
1212,576
1213,576
1214,576
1215,576
1216,576
1217,577
1218,567
1219,567
1220,567
1221,567
1222,567
1223,567
1224,567
1225,567
1226,567
1227,559
1228,558
1229,557
1230,557
1231,557
1232,557
1233,557
1234,557
1235,557
1236,557
1237,557
1238,557
1239,557
1240,557
1241,557
1242,556
1243,556
1244,554
1245,554
1246,554
1247,554
1248,554
1249,554
1250,554
1251,554
1252,554
1253,554
1254,554
1255,554
1256,554
1257,551
1258,551
1259,551
1260,551
1261,551
1262,551
1263,550
1264,546
1265,539
1266,539
1267,539
1268,539
1269,539
1270,539
1271,539
1272,539
1273,539
1274,539
1275,539
1276,539
1277,539
1278,539
1279,539
1280,539
1281,539
1282,539
1283,539
1284,539
1285,539
1286,540
1287,542
1288,545
1289,545
1290,545
1291,545
1292,545
1293,545
1294,545
1295,545
1296,537
1297,536
1298,536
1299,536
1300,536
1301,536
1302,536
1303,536
1304,536
1305,540
